country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Suriname,South America,8997,176.0,8505.0,316.0,4.0,15242,298.0,42347.0,71742.0,590267
Swaziland,Africa,17215,659.0,15567.0,989.0,36.0,14733,564.0,154809.0,132489.0,1168465
Sweden,Europe,707192,13111.0,,,219.0,69723,1293.0,6378529.0,628868.0,10142867
Switzerland,Europe,569312,10090.0,526511.0,32711.0,159.0,65450,1160.0,5354200.0,615537.0,8698423
Syria,Asia,16257,1085.0,10711.0,4461.0,,914,61.0,,,17792389
Taiwan,Asia,984,10.0,942.0,32.0,,41,,444634.0,18646.0,23846680
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1374,9.0,,,9684788
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60899186
Thailand,Asia,26679,85.0,26056.0,538.0,1.0,382,1.0,1600951.0,22896.0,69921447
Timor Leste,Asia,159,,94.0,65.0,,119,,23131.0,17317.0,1335724
Togo,Africa,7857,93.0,6601.0,1163.0,,934,11.0,249405.0,29649.0,8411929
Trinidad And Tobago,North America,7753,140.0,7523.0,90.0,2.0,5527,100.0,101317.0,72234.0,1402630
Tunisia,Africa,239977,8313.0,206293.0,25371.0,266.0,20159,698.0,1022099.0,85861.0,11904075
Turkey,Asia,2835989,29290.0,2659093.0,147606.0,1310.0,33378,345.0,34694624.0,408335.0,84966101
Turks And Caicos Islands,North America,2200,15.0,2081.0,104.0,5.0,56298,384.0,17621.0,450919.0,39078
Uganda,Africa,40535,334.0,15095.0,25106.0,,867,7.0,897975.0,19217.0,46728452
UK,Europe,4241677,125168.0,3386655.0,729854.0,1237.0,62256,1837.0,101314223.0,1487006.0,68133028
Ukraine,Europe,1438468,27915.0,1214876.0,195677.0,177.0,33030,641.0,7235711.0,166144.0,43550899
United Arab Emirates,Asia,419996,1369.0,399803.0,18824.0,,42114,137.0,33108534.0,3319846.0,9972913
Uruguay,South America,67717,683.0,57773.0,9261.0,102.0,19447,196.0,1101948.0,316463.0,3482076
USA,North America,29925902,543721.0,20790554.0,8591627.0,12504.0,90044,1636.0,374470971.0,1126748.0,332346783
Uzbekistan,Asia,80392,622.0,79077.0,693.0,27.0,2378,18.0,1377915.0,40762.0,33803733
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1506.0,312073
Venezuela,South America,144277,1415.0,136269.0,6593.0,139.0,5084,50.0,2987875.0,105281.0,28379937
Viet Nam,Asia,2533,35.0,2048.0,450.0,,26,,2598753.0,26533.0,97944205
Wallis And Futuna Islands,Australia/Oceania,146,,7.0,139.0,2.0,13152,,1331.0,119899.0,11101
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,607415
Yemen,Asia,2667,667.0,1464.0,536.0,23.0,88,22.0,17404.0,575.0,30277268
Zambia,Africa,83913,1148.0,80027.0,2738.0,192.0,4479,61.0,1148568.0,61301.0,18736566
Zimbabwe,Africa,36377,1492.0,33972.0,913.0,22.0,2423,99.0,355865.0,23705.0,15012137
